Date,SPY,GLD,ETH,BTC
2020-12-02,360.426361,171.460007,596.9978052601471,19208.893093693732
2020-12-03,360.328125,172.809998,615.849543984262,19428.2042743612
2020-12-04,363.433319,172.320007,569.2928342181235,18675.32401978046
2020-12-07,362.686462,174.889999,591.3413044237602,19170.308498664966
2020-12-08,363.747711,175.5,554.9260880059816,18323.41186648271
2020-12-09,360.485352,172.5,573.2866407841365,18547.017878282833
2020-12-10,360.367462,172.169998,559.035636034321,18259.034237071504
2020-12-11,359.944885,172.490005,544.4916283497902,18040.19360341744
2020-12-14,358.333374,171.539993,586.2581009755669,19271.449252299815
2020-12-15,363.177826,173.940002,588.7023038582065,19429.28311733126
2020-12-16,363.747711,174.899994,635.6548307710123,21303.793542490366
2020-12-17,365.781799,176.740005,642.5921274271456,22806.201626640926
2020-12-18,364.321289,176.440002,653.2814154679529,23086.29937953461
2020-12-21,363.018677,175.880005,607.6876525308726,22721.587526345364
2020-12-22,362.40683,174.490005,636.4817277159923,23811.98797659645
2020-12-23,362.732483,175.649994,584.3146638260099,23215.971166444855
2020-12-24,364.143677,176.350006,611.7527233303684,23692.875050452843
2020-12-28,367.271942,175.710007,730.2295750846768,27070.992204486225
2020-12-29,366.571259,176.350006,731.8364309672802,27375.29868508799
2020-12-30,367.094299,177.699997,752.2603826846838,28879.3294009623
2020-12-31,368.959473,178.360001,737.1376825992413,28975.354407371786
2021-01-04,363.936432,182.330002,1041.8332390430837,31997.135752001093
2021-01-05,366.442993,182.869995,1100.7056440999174,33973.157151103886
2021-01-06,368.633789,179.899994,1209.38152382755,36790.75503805669
2021-01-07,374.110748,179.479996,1224.5697757672087,39447.64692176793
2021-01-08,376.242371,173.339996,1216.751571087928,40605.09300182787
2021-01-11,373.706177,173.0,1087.4699855084584,35417.9452715392
2021-01-12,373.785065,174.119995,1050.2604092811112,34055.72520795085
2021-01-13,374.791656,173.369995,1129.9135120922201,37375.4370104381
2021-01-14,373.479156,173.279999,1197.8862542477077,39139.637693273115
2021-01-15,370.755463,171.130005,1168.0423542441745,36757.31111998695
2021-01-19,373.666687,172.580002,1366.6705100740746,35896.065233244015
2021-01-20,378.837708,175.389999,1377.0902750643158,35491.31166121211
2021-01-21,379.183105,175.279999,1110.9883415747595,30853.879477880353
2021-01-22,377.841003,173.899994,1233.3037533569818,32965.4180705973
2021-01-25,379.331146,174.050003,1317.9037046206563,32258.166036077277
2021-01-26,378.739075,173.619995,1366.5456838042026,32480.444148917843
2021-01-27,369.482452,172.520004,1239.507638811872,30381.122410005148
2021-01-28,372.660095,172.679993,1330.1446656394405,33400.03617616149
2021-01-29,365.199615,172.610001,1379.494225242647,34251.815129130795
